Datetime,Close,Volume
2026-01-09 00:00:00+00:00,91205.7734375,0
2026-01-09 01:00:00+00:00,90976.4921875,152719360
2026-01-09 02:00:00+00:00,90932.5546875,0
2026-01-09 03:00:00+00:00,91112.8046875,0
2026-01-09 04:00:00+00:00,90939.28125,0
2026-01-09 05:00:00+00:00,90971.515625,0
2026-01-09 06:00:00+00:00,91027.09375,0
2026-01-09 07:00:00+00:00,90687.078125,0
2026-01-09 08:00:00+00:00,89845.1328125,793100288
2026-01-09 09:00:00+00:00,90222.0234375,0
2026-01-09 10:00:00+00:00,90404.4609375,0
2026-01-09 11:00:00+00:00,90337.78125,0
2026-01-09 12:00:00+00:00,90348.6640625,0
2026-01-09 13:00:00+00:00,90550.796875,619769856
2026-01-09 14:00:00+00:00,90056.421875,0
2026-01-09 15:00:00+00:00,90999.8203125,2035843072
2026-01-09 16:00:00+00:00,91527.2890625,535068672
2026-01-09 17:00:00+00:00,91343.59375,0
2026-01-09 18:00:00+00:00,90781.109375,0
2026-01-09 19:00:00+00:00,90267.0546875,889446400
2026-01-09 20:00:00+00:00,90185.78125,0
2026-01-09 21:00:00+00:00,90421.0390625,0
2026-01-09 22:00:00+00:00,90502.359375,0
2026-01-09 23:00:00+00:00,90490.7734375,0
2026-01-10 00:00:00+00:00,90477.046875,0
2026-01-10 01:00:00+00:00,90567.203125,0
2026-01-10 02:00:00+00:00,90543.375,0
2026-01-10 03:00:00+00:00,90507.671875,0
2026-01-10 04:00:00+00:00,90326.484375,0
2026-01-10 05:00:00+00:00,90484.0546875,0
2026-01-10 06:00:00+00:00,90383.640625,15286272
2026-01-10 07:00:00+00:00,90537.1953125,0
2026-01-10 08:00:00+00:00,90531.078125,0
2026-01-10 09:00:00+00:00,90616.21875,0
2026-01-10 10:00:00+00:00,90685.1875,0
2026-01-10 11:00:00+00:00,90610.2734375,0
2026-01-10 12:00:00+00:00,90598.2890625,0
2026-01-10 13:00:00+00:00,90526.546875,0
2026-01-10 14:00:00+00:00,90456.796875,0
2026-01-10 15:00:00+00:00,90543.0546875,0
2026-01-10 16:00:00+00:00,90555.0390625,0
2026-01-10 17:00:00+00:00,90428.203125,0
2026-01-10 18:00:00+00:00,90476.0625,0
2026-01-10 19:00:00+00:00,90507.0390625,0
2026-01-10 20:00:00+00:00,90448.4609375,0
2026-01-10 21:00:00+00:00,90386.5546875,0
2026-01-10 22:00:00+00:00,90341.5703125,0
2026-01-10 23:00:00+00:00,90385.9140625,0
2026-01-11 00:00:00+00:00,90509.6875,0
2026-01-11 01:00:00+00:00,90509.9609375,0
2026-01-11 02:00:00+00:00,90579.109375,0
2026-01-11 03:00:00+00:00,90617.046875,0
2026-01-11 04:00:00+00:00,90662.78125,0
2026-01-11 05:00:00+00:00,90644.2890625,0
2026-01-11 06:00:00+00:00,90632.9921875,337265664
2026-01-11 07:00:00+00:00,90589.421875,0
2026-01-11 08:00:00+00:00,90668.0546875,0
2026-01-11 09:00:00+00:00,90623.921875,200894464
2026-01-11 10:00:00+00:00,90614.265625,0
2026-01-11 11:00:00+00:00,90593.4609375,132082688
2026-01-11 12:00:00+00:00,90825.1875,259120128
2026-01-11 13:00:00+00:00,90736.9296875,233666560
2026-01-11 14:00:00+00:00,91043.9453125,248259584
2026-01-11 15:00:00+00:00,90747.7578125,819688448
2026-01-11 16:00:00+00:00,90905.046875,654397440
2026-01-11 17:00:00+00:00,90869.96875,295511040
2026-01-11 18:00:00+00:00,90745.3515625,0
2026-01-11 19:00:00+00:00,90593.4765625,234848256
2026-01-11 20:00:00+00:00,90538.40625,725939200
2026-01-11 21:00:00+00:00,90646.3125,401456128
2026-01-11 22:00:00+00:00,90430.3515625,73481216
2026-01-11 23:00:00+00:00,90810.1484375,1107441664
2026-01-12 00:00:00+00:00,91032.3671875,879105024
2026-01-12 01:00:00+00:00,91262.015625,2222364672
2026-01-12 02:00:00+00:00,92115.5234375,2094305280
2026-01-12 03:00:00+00:00,91719.34375,1771446272
2026-01-12 04:00:00+00:00,92036.109375,978001920
2026-01-12 05:00:00+00:00,91991.640625,684238848
2026-01-12 06:00:00+00:00,91716.6796875,348442624
2026-01-12 07:00:00+00:00,91301.734375,982913024
2026-01-12 08:00:00+00:00,90669.2109375,1842366464
2026-01-12 09:00:00+00:00,90591.09375,794685440
2026-01-12 10:00:00+00:00,90278.859375,501448704
2026-01-12 11:00:00+00:00,90566.390625,826839040
2026-01-12 12:00:00+00:00,90672.5078125,156246016
2026-01-12 13:00:00+00:00,90533.3359375,397813760
2026-01-12 14:00:00+00:00,90803.7421875,2507259904
2026-01-12 15:00:00+00:00,91546.453125,1540530176
2026-01-12 16:00:00+00:00,92042.640625,1636651008
2026-01-12 17:00:00+00:00,91416.15625,2972286976
2026-01-12 18:00:00+00:00,91622.5859375,759361536
2026-01-12 19:00:00+00:00,91770.25,761724928
2026-01-12 20:00:00+00:00,91393.1953125,0
2026-01-12 21:00:00+00:00,90913.7265625,244572160
2026-01-12 22:00:00+00:00,91157.546875,346845184
2026-01-12 23:00:00+00:00,91157.1015625,0
2026-01-13 00:00:00+00:00,91386.7109375,2981888
2026-01-13 01:00:00+00:00,91058.9296875,0
2026-01-13 02:00:00+00:00,91114.5859375,0
2026-01-13 03:00:00+00:00,91291.3125,0
2026-01-13 04:00:00+00:00,91396.671875,0
2026-01-13 05:00:00+00:00,91803.9453125,1761660928
2026-01-13 06:00:00+00:00,92120.84375,218918912
2026-01-13 07:00:00+00:00,91853.8203125,730107904
2026-01-13 08:00:00+00:00,92087.9140625,0
2026-01-13 09:00:00+00:00,92149.171875,1037434880
2026-01-13 10:00:00+00:00,92029.3359375,259035136
2026-01-13 11:00:00+00:00,91893.6484375,33396477952
2026-01-13 12:00:00+00:00,91999.1171875,0
2026-01-13 13:00:00+00:00,91966.578125,36816220160
2026-01-13 14:00:00+00:00,92453.84375,0
2026-01-13 15:00:00+00:00,93283.03125,694923264
2026-01-13 16:00:00+00:00,93441.21875,1261322240
2026-01-13 17:00:00+00:00,93241.6796875,0
2026-01-13 18:00:00+00:00,93557.6484375,22642688
2026-01-13 19:00:00+00:00,94194.6484375,2483032064
2026-01-13 20:00:00+00:00,94438.890625,2689589248
2026-01-13 21:00:00+00:00,94074.9609375,1534304256
2026-01-13 22:00:00+00:00,95667.828125,5290397696
2026-01-13 23:00:00+00:00,95354.046875,2148032512
2026-01-14 00:00:00+00:00,95277.7734375,777388032
2026-01-14 01:00:00+00:00,95266.8515625,671092736
2026-01-14 02:00:00+00:00,95279.2109375,1220997120
2026-01-14 03:00:00+00:00,95630.9765625,2407698432
2026-01-14 04:00:00+00:00,95202.515625,786616320
2026-01-14 05:00:00+00:00,94988.1640625,0
2026-01-14 06:00:00+00:00,94976.859375,591003648
2026-01-14 07:00:00+00:00,95176.1328125,408600576
2026-01-14 08:00:00+00:00,94868.3046875,0
2026-01-14 09:00:00+00:00,95038.109375,0
2026-01-14 10:00:00+00:00,95059.109375,346828800
2026-01-14 11:00:00+00:00,94706.0078125,0
2026-01-14 12:00:00+00:00,95031.6484375,1391976448
2026-01-14 13:00:00+00:00,94937.046875,0
2026-01-14 14:00:00+00:00,96460.421875,1887080448
2026-01-14 15:00:00+00:00,96710.59375,2725945344
2026-01-14 16:00:00+00:00,97212.4921875,888070144
2026-01-14 17:00:00+00:00,96941.90625,3065225216
2026-01-14 18:00:00+00:00,96835.984375,649310208
2026-01-14 19:00:00+00:00,97265.78125,0
2026-01-14 20:00:00+00:00,97585.109375,357670912
2026-01-14 21:00:00+00:00,97443.15625,0
2026-01-14 22:00:00+00:00,96915.5625,0
2026-01-14 23:00:00+00:00,96932.2109375,0
2026-01-15 00:00:00+00:00,96573.6328125,0
2026-01-15 01:00:00+00:00,96418.140625,72564736
2026-01-15 02:00:00+00:00,96236.4921875,0
2026-01-15 03:00:00+00:00,95963.015625,1138237440
2026-01-15 04:00:00+00:00,96151.6796875,8413184
2026-01-15 05:00:00+00:00,96392.03125,0
2026-01-15 06:00:00+00:00,96281.8203125,0
2026-01-15 07:00:00+00:00,96516.46875,0
2026-01-15 08:00:00+00:00,96614.46875,566321152
2026-01-15 09:00:00+00:00,97046.734375,869601280
2026-01-15 10:00:00+00:00,96792.0546875,0
2026-01-15 11:00:00+00:00,96587.4453125,100679680
2026-01-15 12:00:00+00:00,96940.3046875,0
2026-01-15 13:00:00+00:00,96817.375,191619072
2026-01-15 14:00:00+00:00,96019.609375,0
2026-01-15 15:00:00+00:00,96434.890625,0
2026-01-15 16:00:00+00:00,96797.609375,0
2026-01-15 17:00:00+00:00,96598.6328125,0
2026-01-15 18:00:00+00:00,95793.5625,753541120
